name,number
Taniguchi v. Kan Pacific Saipan,cases/2011/10-1472
Tennant v. Jefferson County Commission,cases/2011/11-1184
United States v. Alvarez,cases/2011/11-210
United States v. Home Concrete & Supply,cases/2011/11-139
United States v. Jones,cases/2011/10-1259
Vartelas v. Holder,cases/2011/10-1211
Vasquez v. United States,cases/2011/11-199
Wetzel v. Lambert,cases/2011/11-38
Williams v. Illinois,cases/2011/10-8505
Wood v. Milyard,cases/2011/10-9995
Zivotofsky v. Clinton,cases/2011/10-699
Adoptive Couple v. Baby Girl,cases/2012/12-399
Agency for International Development v. Alliance for Open Society International,cases/2012/12-10
Alleyne v. United States,cases/2012/11-9335
Already LLC v. Nike,cases/2012/11-982
"American Express Co., et al. v. Italian Colors Restaurant",cases/2012/12-133
American Trucking Associations v. City of Los Angeles,cases/2012/11-798
Amgen Inc. v. Connecticut Retirement Plans and Trust Funds,cases/2012/11-1085
Arizona v. Inter Tribal Council of Arizona,cases/2012/12-71
Arkansas Game & Fish Commission v. United States of America,cases/2012/11-597
Association for Molecular Pathology v. Myriad Genetics,cases/2012/12-398
Bailey v. United States,cases/2012/11-770
Bowman v. Monsanto,cases/2012/11-796
Boyer v. Louisiana,cases/2012/11-9953
Bullock v. BankChampaign,cases/2012/11-1518
Chafin v. Chafin,cases/2012/11-1347
Chaidez v. United States,cases/2012/11-820
"City of Arlington, TX v. FCC",cases/2012/11-1545
Clapper v. Amnesty International USA,cases/2012/11-1025
Comcast v. Behrend,cases/2012/11-864
Dan's City Used Cars v. Pelkey,cases/2012/12-52
Decker v. Northwest Environmental Defense Center,cases/2012/11-338
Descamps v. United States,cases/2012/11-9540
Evans v. Michigan,cases/2012/11-1327
Fisher v. University of Texas,cases/2012/11-345
Florida v. Harris,cases/2012/11-817
Florida v. Jardines,cases/2012/11-564
FTC v. Actavis Inc.,cases/2012/12-416
FTC v. Phoebe Putney Health System,cases/2012/11-1160
Gabelli v. Securities and Exchange Commission,cases/2012/11-1274
Genesis Healthcare v. Symczyk,cases/2012/11-1059
Gunn v. Minton,cases/2012/11-1118
Henderson v. United States,cases/2012/11-9307
Hillman v. Maretta,cases/2012/11-1221
Hollingsworth v. Perry,cases/2012/12-144
Horne v. Department of Agriculture,cases/2012/12-123
Johnson v. Williams,cases/2012/11-465
"Kirtsaeng v. John Wiley & Sons, Inc.",cases/2012/11-697
Kloeckner v Solis,cases/2012/11-184
Koontz v. St. John's River Water Management,cases/2012/11-1447
Lefemine v. Wideman,cases/2012/12-168
Levin v. United States,cases/2012/11-1351
"Los Angeles County Flood Control District v. Natural Resources Defense Council, Inc.",cases/2012/11-460
Lozman v. Riviera Beach,cases/2012/11-626
Maracich v. Spears,cases/2012/12-25
Marshall v. Rodgers,cases/2012/12-382
Marx v. General Revenue Corporation,cases/2012/11-1175
Maryland v. King,cases/2012/12-207
McBurney v. Young,cases/2012/12-17
McQuiggin v. Perkins,cases/2012/12-126
Metrish v. Lancaster,cases/2012/12-547
Millbrook v. United States,cases/2012/11-10362
Missouri v. McNeely,cases/2012/11-1425
Moncrieffe v. Holder,cases/2012/11-702
Mutual Pharmaceutical Co. v. Bartlett,cases/2012/12-142
Nevada v. Jackson,cases/2012/12-694
"Nitro-Lift Technologies, LLC v. Howard",cases/2012/11-1377
Oxford Health Plans v. Sutter,cases/2012/12-135
Peugh v. United States,cases/2012/12-62
PPL Corporation v. Commissioner of Internal Revenue,cases/2012/12-43
Ryan v. Gonzales,cases/2012/10-930
Ryan v. Schad,cases/2012/12-1084
Salinas v. Texas,cases/2012/12-246
Sebelius v. Auburn Regional Medical Center,cases/2012/11-1231
Sebelius v. Cloer,cases/2012/12-236
Sekhar v. United States,cases/2012/12-357
Shelby County v. Holder,cases/2012/12-96
Smith v. United States,cases/2012/11-8976
Standard Fire Insurance Company v. Knowles,cases/2012/11-1450
Tarrant Regional Water District v. Herrmann,cases/2012/11-889
Trevino v. Thaler,cases/2012/11-10189
UBS Financial Services v. Union de Empleados de Muelles,cases/2012/12-1208
United States Forest Service v. Pacific Rivers Council,cases/2012/12-623
United States v. Bormes,cases/2012/11-192
United States v. Davila,cases/2012/12-167
United States v. Kebodeaux,cases/2012/12-418
United States v. Windsor,cases/2012/12-307
University of Texas Southwestern Medical Center v. Nassar,cases/2012/12-484
US Airways v. McCutchen,cases/2012/11-1285
Vance v. Ball State University,cases/2012/11-556
Wos v. E.M.A. et al.,cases/2012/12-98
"ABC, Inc. v. Aereo, Inc.",cases/2013/13-461
Abramski v. United States,cases/2013/12-1493
Air Wisconsin Airlines Corp. v. Hoeper,cases/2013/12-315
Alice Corporation v. CLS Bank International,cases/2013/13-298
"Argentina v. NML Capital, Ltd.",cases/2013/12-842
Atlantic Marine Construction Company v. U.S. District Court for the Western District of Texas,cases/2013/12-929
BG Group PLC v. Argentina,cases/2013/12-138
Bond v. United States,cases/2013/12-158
Brandt Revocable Trust v. United States,cases/2013/12-1173
Burrage v. United States,cases/2013/12-7515
Burt v. Titlow,cases/2013/12-414
Burwell v. Hobby Lobby Stores,cases/2013/13-354
Chadbourne and Parke LLP v. Troice,cases/2013/12-79
Clark v. Rameker,cases/2013/13-299
Cline v. Oklahoma Coalition for Reproductive Justice,cases/2013/12-1094
CTS Corp. v. Waldburger,cases/2013/13-339
DaimlerChrysler AG v. Bauman,cases/2013/11-965
Environmental Protection Agency v. EME Homer City Generation,cases/2013/12-1182
Executive Benefits Insurance Agency v. Arkison,cases/2013/12-1200
Fernandez v. California,cases/2013/12-7822
Fifth Third Bancorp v. Dudenhoeffer,cases/2013/12-751
Ford Motor Company v. United States,cases/2013/13-113
Hall v. Florida,cases/2013/12-10882
"Halliburton Co. v. Erica P. John Fund, Inc.",cases/2013/13-317
Harris v. Quinn,cases/2013/11-681
Heimeshoff v. Hartford Life & Accident Insurance Co.,cases/2013/12-729
Highmark v. Allcare Management Systems,cases/2013/12-1163
Hinton v. Alabama,cases/2013/13-6440
Kaley v. United States,cases/2013/12-464
Kansas v. Cheever,cases/2013/12-609
Lane v. Franks,cases/2013/13-483
Law v. Siegel,cases/2013/12-5196
"Lawson and Zang v. FMR, LLC",cases/2013/12-3
Lexmark International v. Static Control Components,cases/2013/12-873
Limelight Networks v. Akamai Technologies,cases/2013/12-786
Loughrin v. United States,cases/2013/13-316
Lozano v. Montoya Alvarez,cases/2013/12-820
